date,evictions,unemployment_rate,school_absenteeism,poverty_rate,er_visits
2010-03-03,6,9.76,6.56,17.12,51
2010-03-04,5,10.17,6.72,18.33,57
2010-03-05,3,10.81,5.72,14.69,44
2010-03-05,5,7.28,8.01,16.98,45
2010-03-05,3,10.02,7.65,17.17,49
2010-03-05,3,3.61,10.22,22.7,36
2010-03-08,6,7.0,14.89,11.72,56
2010-03-08,5,3.27,5.81,12.19,41
2010-03-09,6,11.24,17.9,11.59,54
2010-03-10,2,11.63,9.9,17.85,67
2010-03-10,4,3.76,14.1,19.82,51
2010-03-10,7,7.79,5.18,12.05,50
2010-03-10,6,5.93,10.49,19.51,52
2010-03-10,5,6.08,5.03,18.68,42
2010-03-11,4,7.06,7.48,13.46,47
2010-03-11,3,4.13,11.72,11.91,66
2010-03-11,3,4.63,13.03,22.99,61
2010-03-11,7,8.2,7.29,17.68,41
2010-03-11,7,3.17,16.18,19.97,48
2010-03-11,6,8.4,7.84,23.73,61
2010-03-12,6,5.87,6.74,11.49,42
2010-03-13,7,10.49,10.0,13.96,53
2010-03-14,8,8.4,13.27,15.39,42
2010-03-14,6,9.37,19.83,11.96,48
2010-03-14,3,4.03,11.28,22.29,55
2010-03-17,7,5.39,11.39,9.42,47
2010-03-17,5,11.97,5.89,12.07,48
2010-03-18,5,6.9,16.49,11.25,46
2010-03-18,7,6.23,7.73,24.21,53
2010-03-19,4,10.86,16.17,18.67,53
2010-03-19,9,3.3,18.66,20.18,50
2010-03-20,4,7.81,16.52,9.84,62
2010-03-20,5,4.89,14.64,11.3,50
2010-03-20,2,6.31,14.06,21.77,58
2010-03-21,6,4.8,11.8,17.65,54
2010-03-21,3,3.34,7.17,8.77,59
2010-03-22,6,6.75,16.68,17.62,59
2010-03-23,2,10.1,12.16,16.08,48
2010-03-24,3,11.57,14.38,10.61,50
2010-03-25,5,8.61,10.61,18.08,50
2010-03-25,3,6.5,8.01,10.95,50
2010-03-26,4,9.93,17.1,21.79,50
2010-03-27,5,7.55,10.14,18.51,51
2010-03-27,6,6.31,18.0,22.81,53
2010-03-28,3,4.61,19.49,15.22,46
2010-03-28,3,10.17,17.45,16.7,40
2010-03-28,4,7.5,6.92,20.93,64
2010-03-28,5,11.67,17.83,17.29,55
2010-03-29,4,10.22,12.79,17.72,49
2010-03-30,2,6.78,8.62,17.41,55
2010-03-31,6,9.67,6.4,16.35,47
2010-03-31,6,7.08,9.18,21.7,55
2010-03-31,8,3.72,7.06,16.25,48
2010-04-01,1,7.65,5.38,23.31,55
2010-04-01,6,10.79,19.82,21.75,55
2010-04-01,2,10.7,17.47,19.77,51
2010-04-01,5,8.17,16.08,23.28,38
2010-04-02,2,6.42,7.9,17.13,46
2010-04-04,6,3.09,5.42,21.97,53
2010-04-04,4,5.8,12.28,12.11,49
2010-04-05,3,11.91,16.13,9.24,58
2010-04-05,5,9.54,19.44,19.65,36
2010-04-05,6,9.46,17.66,13.13,52
2010-04-06,3,9.85,18.4,18.79,50
2010-04-07,4,8.58,8.58,9.32,55
2010-04-07,8,8.27,7.33,24.25,41
2010-04-07,4,7.08,8.72,16.76,48
2010-04-07,10,7.0,7.08,8.16,51
2010-04-07,4,10.84,16.98,16.09,62
2010-04-08,5,6.54,18.55,21.43,44
2010-04-08,10,10.56,9.61,22.71,45
2010-04-08,3,10.54,18.15,15.84,53
2010-04-09,4,9.94,5.83,10.14,49
2010-04-09,7,3.34,15.16,23.4,45
2010-04-10,5,4.33,12.91,24.68,54
2010-04-11,10,5.83,9.15,9.07,50
2010-04-11,4,10.63,16.52,9.33,59
2010-04-13,2,10.86,8.18,17.62,53
2010-04-13,3,3.37,11.24,17.08,45
2010-04-15,5,5.92,15.65,18.01,53
2010-04-15,8,10.65,10.07,13.39,47
2010-04-16,4,5.25,17.83,8.86,48
2010-04-16,3,11.78,17.98,17.87,54
2010-04-17,8,7.4,8.04,10.57,44
2010-04-18,6,11.44,11.61,13.8,47
2010-04-18,8,6.86,11.48,17.9,55
2010-04-18,3,5.91,11.15,11.54,54
2010-04-18,3,6.26,12.53,17.22,55
2010-04-19,5,10.96,6.12,20.15,55
2010-04-20,11,5.98,18.05,9.12,64
2010-04-21,7,9.02,9.35,18.53,46
2010-04-22,4,7.23,5.03,16.66,53
2010-04-22,3,11.48,15.28,9.66,38
2010-04-23,8,4.43,14.76,20.01,48
2010-04-23,8,6.86,19.75,13.29,48
2010-04-23,3,4.12,15.79,11.1,38
2010-04-24,3,8.2,9.99,12.8,49
2010-04-24,6,6.63,19.29,17.29,48
2010-04-24,2,3.55,10.48,17.86,53
2010-04-25,7,10.65,17.32,10.88,56
2010-04-25,5,6.38,10.04,23.92,47
2010-04-26,5,7.44,5.73,13.59,52
2010-04-27,6,6.67,16.01,12.56,48
2010-04-27,1,7.4,10.25,11.17,60
2010-04-28,10,3.15,10.08,10.05,51
2010-04-28,2,10.34,15.74,24.7,47
2010-04-28,5,5.99,9.83,19.47,51
2010-04-28,4,9.52,6.77,21.38,50
2010-04-29,5,3.58,11.07,14.83,49
2010-04-29,4,7.71,17.36,15.05,54
2010-04-29,5,11.18,6.95,24.78,47
2010-04-29,6,6.58,13.32,11.41,38
2010-04-29,1,4.78,6.98,13.56,34
2010-04-29,3,3.89,5.74,11.32,44
2010-04-29,2,10.73,10.68,12.8,50
2010-04-30,5,5.15,14.87,19.28,42
2010-05-01,4,11.78,9.12,13.25,58
2010-05-02,7,5.23,11.69,22.88,49
2010-05-03,7,7.33,12.37,8.83,69
2010-05-03,2,7.12,17.62,14.03,56
2010-05-03,6,3.56,17.28,22.63,51
2010-05-03,7,7.79,5.04,18.56,46
2010-05-04,2,9.05,11.21,21.11,45
2010-05-05,7,9.68,14.84,13.5,42
2010-05-05,5,7.7,17.79,14.28,45
2010-05-06,7,10.31,5.73,23.1,49
2010-05-06,6,9.77,14.42,20.74,44
2010-05-07,5,4.75,17.63,14.53,55
2010-05-07,6,6.61,8.83,11.66,40
2010-05-09,5,4.28,8.08,9.81,79
2010-05-11,4,4.2,12.02,22.65,58
2010-05-13,7,9.41,19.44,19.86,43
2010-05-14,1,7.77,15.39,18.32,53
2010-05-14,8,8.41,11.37,21.2,62
2010-05-15,4,9.59,5.31,23.55,46
2010-05-15,5,5.5,13.35,20.95,58
2010-05-16,3,6.61,10.23,15.15,57
2010-05-16,7,8.46,7.79,11.0,58
2010-05-16,2,3.87,12.5,20.14,54
2010-05-18,5,10.5,10.12,12.19,52
2010-05-18,10,6.09,5.58,21.3,51
2010-05-19,7,8.93,15.88,13.76,43
2010-05-19,7,11.96,15.99,10.67,45
2010-05-19,10,7.28,14.28,12.33,43
2010-05-20,1,4.94,17.61,12.53,45
2010-05-20,5,4.95,8.05,14.44,42
2010-05-20,3,3.54,9.29,12.37,65
2010-05-22,8,9.9,11.88,11.83,53
2010-05-22,7,5.64,5.9,14.66,57
2010-05-22,3,4.55,18.25,22.76,51
2010-05-23,1,9.42,12.36,9.2,58
2010-05-24,5,5.78,9.87,13.04,53
2010-05-24,3,8.4,12.17,17.56,45
2010-05-29,6,6.76,9.88,22.87,58
2010-05-29,3,6.01,9.29,12.83,61
2010-05-30,4,7.4,11.72,13.93,48
2010-05-31,5,5.82,12.23,21.57,49
2010-05-31,8,10.84,11.5,14.33,54
2010-06-01,7,3.66,13.22,22.48,47
2010-06-01,5,3.27,16.75,15.74,50
2010-06-01,4,6.66,5.86,17.67,41
2010-06-03,6,4.56,17.17,17.53,53
2010-06-03,8,9.69,8.43,10.03,63
2010-06-04,4,6.18,8.78,14.03,42
2010-06-04,3,5.35,13.99,12.11,49
2010-06-06,2,6.23,19.64,19.61,52
2010-06-06,3,4.98,5.26,23.87,46
2010-06-07,9,5.7,15.1,11.61,45
2010-06-07,5,8.11,15.45,9.55,46
2010-06-07,4,10.78,13.6,16.61,52
2010-06-07,7,6.34,5.15,14.64,66
2010-06-08,8,5.89,14.1,8.61,51
2010-06-08,4,10.04,6.73,23.67,53
2010-06-08,4,3.2,6.17,23.98,48
2010-06-09,8,5.72,15.44,22.46,55
2010-06-09,5,7.07,15.5,12.77,59
2010-06-10,5,8.41,18.35,10.08,38
2010-06-10,6,4.4,5.05,18.07,50
2010-06-10,7,6.9,10.68,12.79,49
2010-06-10,2,8.1,5.18,11.43,43
2010-06-11,1,7.59,10.47,18.9,51
2010-06-12,7,8.17,12.37,20.76,50
2010-06-12,5,8.96,12.95,16.96,46
2010-06-13,4,6.41,10.34,13.44,51
2010-06-14,4,3.57,15.88,16.71,43
2010-06-14,3,3.5,11.23,18.2,52
2010-06-15,8,10.73,12.76,8.88,44
2010-06-16,7,9.1,17.0,15.54,55
2010-06-16,1,9.88,7.61,18.17,44
2010-06-16,2,11.36,9.81,10.2,46
2010-06-17,4,9.75,12.82,15.63,54
2010-06-17,6,9.23,16.51,13.89,55
2010-06-18,4,8.9,11.38,22.75,56
2010-06-18,6,5.33,6.09,16.32,38
2010-06-19,8,11.62,19.83,15.25,62
2010-06-19,7,7.88,15.62,12.15,47
2010-06-20,5,5.0,15.84,24.28,40
2010-06-20,2,4.89,11.98,24.34,53
2010-06-20,1,10.34,13.21,14.23,47
2010-06-21,7,5.25,19.91,23.79,39
2010-06-21,4,3.37,13.93,18.52,57
2010-06-22,1,6.86,8.28,21.28,48
2010-06-22,6,10.36,19.47,9.53,44
2010-06-24,5,6.73,13.07,8.36,31
2010-06-24,8,10.23,5.31,16.74,50
2010-06-25,5,10.44,13.6,9.29,47
2010-06-27,4,10.72,6.06,23.16,49
2010-06-27,10,8.3,12.91,21.94,52
2010-06-28,7,9.3,17.38,20.15,47
2010-06-28,4,5.36,13.08,8.53,45
2010-06-28,8,3.9,10.6,15.79,64
2010-06-29,5,7.8,18.24,9.33,54
2010-06-29,5,3.1,18.91,23.79,59
2010-06-29,5,7.19,10.21,18.41,56
2010-07-01,2,3.92,12.48,10.66,52
2010-07-02,3,3.98,19.74,17.53,62
2010-07-02,4,10.84,7.67,10.02,44
2010-07-03,9,8.76,9.47,10.48,50
2010-07-04,0,8.81,11.43,9.38,56
2010-07-04,5,6.64,6.51,22.82,53
2010-07-05,5,6.72,9.08,17.28,57
2010-07-05,5,5.73,13.17,13.57,58
2010-07-06,5,6.91,8.43,8.01,51
2010-07-07,4,8.28,15.29,16.02,47
2010-07-07,9,4.68,10.22,16.72,48
2010-07-07,6,5.36,6.35,13.72,44
2010-07-09,2,7.45,16.47,16.23,51
2010-07-10,6,6.46,13.51,9.71,51
2010-07-10,6,10.38,17.37,23.68,42
2010-07-10,6,10.4,10.4,12.39,48
2010-07-10,5,6.02,5.29,24.12,60
2010-07-11,2,7.06,5.7,16.38,61
2010-07-11,5,11.79,16.93,22.56,61
2010-07-11,3,10.45,11.16,17.81,49
2010-07-11,3,4.94,19.65,22.36,61
2010-07-12,3,5.52,17.45,8.17,49
2010-07-13,6,3.75,5.24,11.17,47
2010-07-14,6,9.1,18.05,14.02,47
2010-07-15,4,5.85,8.19,13.03,44
2010-07-16,5,7.83,12.29,24.09,56
2010-07-17,5,9.91,12.59,14.71,47
2010-07-17,7,10.52,5.9,24.53,58
2010-07-17,5,5.93,6.88,19.07,72
2010-07-18,3,5.14,11.35,22.2,42
2010-07-18,4,10.64,14.64,14.7,38
2010-07-18,7,6.43,8.97,11.23,43
2010-07-20,5,10.4,12.9,8.86,44
2010-07-22,7,4.35,10.69,19.16,55
2010-07-22,8,11.21,14.46,24.52,64
2010-07-22,7,7.35,11.37,10.01,38
2010-07-22,5,4.53,17.77,21.12,41
2010-07-23,8,7.82,19.76,14.2,42
2010-07-23,4,10.83,18.7,24.89,45
2010-07-24,6,6.5,7.53,22.79,61
2010-07-25,8,4.6,11.86,11.92,59
2010-07-25,6,8.19,11.88,21.02,58
2010-07-26,3,10.51,17.61,20.48,57
2010-07-26,8,4.09,10.36,20.98,49
2010-07-26,4,3.37,13.24,9.41,44
2010-07-26,7,3.51,14.14,21.76,41
2010-07-27,2,5.07,6.67,12.44,58
2010-07-27,10,3.07,13.37,18.04,44
2010-07-28,6,6.86,8.7,9.96,43
2010-07-28,4,9.28,8.1,17.49,49
2010-07-29,5,9.39,8.75,23.41,45
2010-07-29,6,8.73,6.49,11.01,47
2010-07-30,4,5.67,6.05,22.54,48
2010-07-31,5,9.62,14.7,15.4,44
2010-08-01,6,8.19,19.11,13.48,56
2010-08-02,3,10.75,15.32,8.97,67
2010-08-02,7,7.3,9.68,16.98,53
2010-08-02,7,4.62,10.03,11.4,51
2010-08-03,8,8.71,13.12,23.98,48
2010-08-03,4,4.36,17.99,12.05,65
2010-08-03,7,11.67,8.04,17.98,47
2010-08-04,3,9.33,12.03,17.5,57
2010-08-04,4,9.81,12.48,13.73,46
2010-08-04,4,9.11,18.97,22.49,42
2010-08-04,0,3.88,13.04,11.12,63
2010-08-05,1,7.19,16.71,21.89,47
2010-08-06,1,8.86,6.32,11.53,50
2010-08-06,7,5.06,9.9,8.66,58
2010-08-06,5,9.12,14.17,24.05,53
2010-08-06,5,10.38,15.16,18.83,46
2010-08-07,8,5.47,18.28,18.72,35
2010-08-08,3,4.8,13.86,12.51,41
2010-08-08,5,10.95,9.34,10.37,45
2010-08-08,3,3.05,13.09,20.0,56
2010-08-09,5,5.3,15.67,16.82,41
2010-08-09,1,6.66,16.77,13.4,54
2010-08-10,7,9.05,19.17,13.39,45
2010-08-10,2,11.97,7.86,23.12,47
2010-08-11,4,6.34,14.91,23.12,51
2010-08-12,6,11.54,8.0,12.67,56
2010-08-12,7,6.3,9.77,21.5,42
2010-08-13,9,9.26,7.14,11.85,51
2010-08-13,4,4.49,16.59,21.74,49
2010-08-13,1,7.14,18.71,10.15,47
2010-08-13,4,10.84,5.45,20.89,52
2010-08-15,6,5.88,17.2,17.45,43
2010-08-15,3,3.95,8.63,10.0,39
2010-08-16,4,7.7,12.3,18.47,51
2010-08-16,2,6.96,16.22,11.27,49
2010-08-17,6,5.07,12.6,11.3,41
2010-08-17,8,11.15,8.47,15.6,55
2010-08-17,7,8.42,18.59,24.39,39
2010-08-17,2,6.12,13.9,23.17,42
2010-08-18,6,11.97,18.97,22.05,47
2010-08-19,9,4.24,17.7,22.47,52
2010-08-20,3,10.63,18.15,16.45,47
2010-08-21,8,5.08,10.43,14.37,44
2010-08-22,7,5.16,19.81,23.03,49
2010-08-22,6,7.48,17.79,9.37,56
2010-08-22,10,8.96,10.06,24.93,55
2010-08-22,5,9.21,18.45,17.4,49
2010-08-23,5,3.2,16.33,17.19,44
2010-08-23,5,5.58,15.88,12.96,66
2010-08-23,5,8.95,5.09,10.9,43
2010-08-23,4,11.01,5.34,19.56,54
2010-08-24,10,9.03,15.42,14.15,42
2010-08-25,3,5.39,9.18,13.14,40
2010-08-26,2,7.57,5.88,10.76,59
2010-08-26,6,8.83,9.29,17.1,50
2010-08-27,4,4.22,17.57,18.0,50
2010-08-27,4,7.9,12.06,15.53,57
2010-08-27,8,7.24,14.23,8.2,51
2010-08-28,5,6.03,17.01,16.36,54
2010-08-28,4,8.61,9.85,12.62,53
2010-08-28,7,8.73,5.17,10.36,45
2010-08-29,4,11.74,9.85,17.82,50
2010-08-29,2,6.85,19.35,19.41,44
2010-08-29,2,7.78,12.23,16.82,49
2010-08-30,3,4.42,13.55,18.44,50
2010-08-30,3,7.94,16.41,18.31,60
2010-09-01,8,3.32,6.72,10.11,47
2010-09-02,6,4.35,16.01,11.67,46
2010-09-02,0,4.54,9.47,8.16,37
2010-09-03,8,8.69,10.82,24.69,55
2010-09-03,5,8.11,9.04,11.59,58
2010-09-03,4,10.18,7.3,21.85,40
2010-09-04,5,7.18,10.42,21.28,50
2010-09-05,7,7.27,6.42,19.99,55
2010-09-05,6,4.45,17.67,15.65,43
2010-09-05,3,9.68,9.59,17.93,60
2010-09-07,4,3.03,14.8,11.17,57
2010-09-07,2,6.82,9.45,9.8,42
2010-09-10,4,4.69,8.16,13.98,61
2010-09-10,1,9.94,15.7,22.03,40
2010-09-10,9,9.06,14.36,17.59,49
2010-09-11,3,9.36,8.27,20.99,42
2010-09-11,1,4.34,14.18,23.14,49
2010-09-11,5,9.02,5.08,17.53,65
2010-09-11,4,9.22,7.65,14.24,47
2010-09-12,6,3.02,15.92,22.55,50
2010-09-13,5,5.86,11.15,11.9,58
2010-09-13,8,3.79,8.05,8.42,45
2010-09-14,5,9.13,12.59,8.86,56
2010-09-14,7,4.91,11.98,17.9,46
2010-09-16,4,5.38,14.51,23.17,50
2010-09-16,1,3.7,6.09,17.59,44
2010-09-18,5,7.35,17.29,14.96,46
2010-09-18,4,3.3,5.87,17.81,57
2010-09-18,3,10.61,11.81,19.41,45
2010-09-19,2,3.24,15.66,20.89,57
2010-09-20,12,3.55,10.17,13.9,55
2010-09-21,5,8.76,18.65,14.58,30
2010-09-21,10,11.25,16.33,8.4,47
2010-09-21,6,11.03,11.39,19.04,56
2010-09-22,1,3.75,7.76,21.2,55
2010-09-23,6,5.6,5.65,16.69,46
2010-09-23,2,7.69,17.02,14.4,52
2010-09-23,4,3.24,7.91,13.66,76
2010-09-24,5,7.76,9.05,18.97,53
2010-09-24,8,7.03,5.16,13.62,46
2010-09-27,4,8.3,5.27,18.18,47
2010-09-28,2,11.28,8.46,23.76,58
2010-09-28,1,5.47,18.09,13.62,52
2010-09-28,8,8.75,16.71,9.16,54
2010-09-29,8,6.87,16.55,22.86,46
2010-09-30,4,6.92,17.41,12.65,42
2010-10-01,1,8.83,7.8,24.81,59
2010-10-01,9,11.56,19.69,22.28,33
2010-10-02,4,10.77,8.48,15.26,53
2010-10-02,2,8.76,7.25,18.68,44
2010-10-03,4,7.15,9.42,12.72,50
2010-10-04,3,6.82,12.96,9.43,42
2010-10-04,8,10.08,6.87,16.94,53
2010-10-06,9,4.96,16.08,15.22,61
2010-10-06,4,8.29,10.57,24.49,49
2010-10-06,4,7.54,13.53,18.16,54
2010-10-06,5,8.84,16.01,20.7,37
2010-10-07,11,4.69,18.53,10.3,54
2010-10-07,8,9.26,17.29,20.3,31
2010-10-08,6,8.64,13.06,8.96,49
2010-10-08,2,4.62,19.87,18.42,45
2010-10-09,8,7.05,12.95,22.26,51
2010-10-09,7,9.11,13.04,16.21,64
2010-10-09,6,11.11,7.38,11.66,54
2010-10-09,5,4.1,7.23,15.54,49
2010-10-10,3,3.08,7.53,22.3,60
2010-10-11,5,4.49,13.88,20.14,49
2010-10-11,3,11.9,11.23,18.29,48
2010-10-12,3,9.92,10.79,19.8,55
2010-10-12,7,8.53,6.91,22.18,63
2010-10-14,4,4.2,10.72,10.58,52
2010-10-15,4,6.74,10.67,22.31,37
2010-10-15,6,9.44,14.31,21.71,69
2010-10-15,6,11.06,10.83,16.12,50
2010-10-16,3,6.44,11.28,14.85,48
2010-10-16,4,12.0,9.09,23.85,43
2010-10-16,6,4.26,6.97,21.93,44
2010-10-16,6,6.48,9.5,24.81,59
2010-10-17,6,10.88,5.64,18.91,51
2010-10-18,6,8.85,8.06,8.54,52
2010-10-18,3,10.3,9.87,10.62,50
2010-10-21,5,11.17,7.18,21.95,46
2010-10-22,2,7.57,14.97,18.86,48
2010-10-22,5,5.11,9.21,11.37,53
2010-10-22,3,9.24,14.23,8.2,55
2010-10-23,3,8.07,14.66,12.47,50
2010-10-24,5,9.95,11.71,10.34,57
2010-10-25,11,7.61,11.74,22.9,49
2010-10-25,7,10.3,13.72,23.01,55
2010-10-26,7,11.12,8.94,22.32,57
2010-10-27,4,9.75,5.32,9.61,48
2010-10-27,1,9.69,14.68,10.3,57
2010-10-27,4,8.28,14.13,10.3,69
2010-10-27,5,7.24,12.15,12.39,41
2010-10-27,4,11.75,18.14,9.24,50
2010-10-27,4,8.81,12.63,24.69,49
2010-10-28,7,10.56,9.55,22.54,54
2010-10-28,6,7.55,15.7,9.18,58
2010-10-29,8,7.99,19.44,10.44,62
2010-10-29,4,8.97,16.05,12.46,48
2010-10-30,3,9.56,18.63,21.18,68
2010-10-30,0,7.04,6.69,20.14,59
2010-10-31,4,6.21,6.81,18.72,47
2010-10-31,1,5.15,7.32,23.51,46
2010-10-31,4,6.81,15.54,8.62,39
2010-11-01,3,4.9,10.85,10.74,50
2010-11-01,5,6.75,12.17,11.23,64
2010-11-01,6,10.87,8.93,9.01,50
2010-11-02,6,11.79,16.04,18.51,54
2010-11-05,4,8.19,17.68,11.56,55
2010-11-05,4,4.31,7.4,16.2,38
2010-11-05,5,6.85,7.89,19.65,67
2010-11-06,1,8.42,10.09,18.12,42
2010-11-06,9,6.34,9.2,12.93,55
2010-11-06,7,4.85,12.97,15.04,53
2010-11-06,5,5.04,16.29,13.78,41
2010-11-08,4,7.27,16.9,22.49,41
2010-11-08,5,4.95,8.13,15.14,53
2010-11-09,4,5.25,7.63,9.05,59
2010-11-12,1,10.86,10.46,18.53,66
2010-11-13,3,10.01,7.22,11.36,56
2010-11-13,7,3.5,6.38,13.76,45
2010-11-13,6,5.88,8.64,13.57,46
2010-11-14,10,7.79,10.91,9.23,53
2010-11-15,4,3.55,13.82,24.17,56
2010-11-15,5,9.15,15.85,17.3,46
2010-11-17,6,6.46,8.34,10.66,44
2010-11-17,6,6.57,17.28,17.45,59
2010-11-17,8,5.39,5.51,15.68,47
2010-11-18,4,6.01,11.66,13.86,46
2010-11-19,3,10.76,14.5,16.03,55
2010-11-20,3,10.1,9.37,19.38,41
2010-11-21,9,11.42,15.26,11.39,38
2010-11-25,7,9.29,18.01,17.14,51
2010-11-25,2,8.2,6.34,21.82,45
2010-11-25,2,5.33,12.69,11.78,59
2010-11-26,4,9.0,5.28,16.76,49
2010-11-26,6,11.16,9.19,24.42,52
2010-11-27,9,3.62,7.05,21.61,55
2010-11-27,11,6.99,14.36,18.08,40
2010-11-28,4,4.34,8.73,20.73,58
2010-11-29,7,10.3,9.24,16.94,72
2010-11-30,7,8.53,8.08,24.77,38
2010-12-01,3,10.92,8.66,10.88,46
2010-12-01,7,3.57,8.38,20.23,51
2010-12-01,5,11.15,15.47,8.1,47
2010-12-01,2,3.6,19.34,10.14,52
2010-12-01,9,5.59,12.35,20.27,62
2010-12-01,6,4.41,14.01,20.91,61
2010-12-01,3,4.31,17.27,8.67,60
2010-12-02,6,4.55,12.14,13.68,46
2010-12-02,3,7.32,9.53,10.01,54
2010-12-03,2,10.06,19.26,23.13,47
2010-12-03,8,11.08,18.59,15.72,62
2010-12-03,4,8.1,8.31,15.52,57
2010-12-03,5,4.42,15.55,22.01,50
2010-12-04,4,3.71,14.71,19.82,38
2010-12-05,3,7.45,14.74,23.68,67
2010-12-06,4,9.89,17.46,23.96,61
2010-12-07,3,8.58,15.11,13.32,51
2010-12-07,11,8.25,12.77,19.02,74
2010-12-07,6,3.43,17.69,17.21,45
2010-12-07,5,6.7,8.97,18.13,40
2010-12-08,5,7.95,15.19,18.63,47
2010-12-09,5,8.38,15.52,9.02,49
2010-12-09,3,3.04,18.05,23.22,57
2010-12-09,6,4.8,19.97,10.38,46
